"country","year","Yt","DR.2.Yt","DR.3.Yt"
"Serbia",2025,137214242643.401,117111034886.286,108318190222.094
"Serbia",2026,138891379787.039,116218093421.124,106448677447.08
"Serbia",2027,140568516930.676,115315143880.052,104596178074.173
"Serbia",2028,142245654074.312,114402922043.619,102761287006.99
"Serbia",2029,143922791217.95,113482138686.017,100944550061.484
"Serbia",2030,145599928361.587,112553480272.833,99146466320.7333
"Serbia",2031,147277065505.224,111617609641.063,97367490394.2187
"Serbia",2032,148954202648.861,110675166661.799,95608034585.1232
"Serbia",2033,150631339792.499,109726768886.012,93868470969.1165
"Serbia",2034,152308476936.135,108773012173.842,92149133387.9306
"Serbia",2035,153985614079.772,107814471307.791,90450319360.9399
"Serbia",2036,155662751223.41,106851700590.208,88772291917.8115
"Serbia",2037,157339888367.047,105885234425.445,87115281355.2184
"Serbia",2038,159017025510.684,104915587887.062,85479486920.4811
"Serbia",2039,160694162654.321,103943257270.436,83865078424.8965
"Serbia",2040,162371299797.958,102968720631.13,82272197789.4294
"Serbia",2041,164048436941.595,101992438309.37,80700960525.3351
"Serbia",2042,165725574085.232,101014853440.97,79151457152.1925
"Serbia",2043,167402711228.87,100036392455.027,77623754555.7375
"Serbia",2044,169079848372.507,99057465558.7116,76117897287.7992
"Serbia",2045,170756985516.144,98078467209.482,74633908810.5655
"Serbia",2046,172434122659.781,97099776575.0016,73171792687.3086
"Serbia",2047,174111259803.418,96121757981.0853,71731533721.6423
"Serbia",2048,175788396947.055,95144761347.9551,70313099047.2942
"Serbia",2049,177465534090.692,94169122615.0934,68916439170.3118
"Serbia",2050,179142671234.33,93195164154.9749,67541488965.5467
"Seychelles",2015,2254876837.1481,2345973861.36888,2392198836.53042
"Seychelles",2016,2528112152.23954,2578674395.28433,2603955516.80673
"Seychelles",2017,2703921171.59936,2703921171.59936,2703921171.59936
"Seychelles",2018,2837480620.30958,2781843745.40155,2754835553.69862
"Seychelles",2019,2993947589.24906,2877688955.44892,2822082749.78703
"Seychelles",2020,3075661688.28809,2898264702.38454,2814666141.0289
"Seychelles",2021,3216897308.78442,2971915864.71749,2858171593.32979
"Seychelles",2022,3358132929.2807,3041564457.55392,2896754963.92726
"Seychelles",2023,3499368549.77698,3107339127.92436,2930666068.77213
"Seychelles",2024,3640604170.27325,3169365016.73564,2960144347.01039
"Seychelles",2025,3781839790.76959,3227763846.80547,2985419253.5294
"Seychelles",2026,3923075411.26587,3282654008.79226,3006710637.44002
"Seychelles",2027,4064311031.76215,3334150645.06992,3024229106.98185
"Seychelles",2028,4205546652.25848,3382365731.59401,3038176381.32022
"Seychelles",2029,4346782272.75476,3427408157.80645,3048745629.68967
"Seychelles",2030,4488017893.25104,3469383804.62432,3056121798.32265
"Seychelles",2031,4629253513.74731,3508395620.55667,3060481925.58675
"Seychelles",2032,4770489134.24365,3544543695.99321,3061995445.74051
"Seychelles",2033,4911724754.73993,3577925335.70688,3060824481.70295
"Seychelles",2034,5052960375.23621,3608635129.61247,3057124127.21987
"Seychelles",2035,5194195995.73248,3636765021.82099,3051042718.79534
"Seychelles",2036,5335431616.22882,3662404378.02999,3042722097.74586
"Seychelles",2037,5476667236.7251,3685640051.28811,3032297862.72136
"Seychelles",2038,5617902857.22137,3706556446.17238,3019899613.0268
"Seychelles",2039,5759138477.71771,3725235581.41445,3005651183.06522
"Seychelles",2040,5900374098.21399,3741757151.01217,2989670868.21333
"Seychelles",2041,6041609718.71027,3756198583.86233,2972071642.43023
"Seychelles",2042,6182845339.20654,3768635101.94827,2952961367.88854
"Seychelles",2043,6324080959.70288,3779139777.11668,2932442996.90846
"Seychelles",2044,6465316580.19916,3787783586.47608,2910614766.46514
"Seychelles",2045,6606552200.69543,3794635466.44993,2887570385.53089
"Seychelles",2046,6747787821.19171,3799762365.51499,2863399215.50428
"Seychelles",2047,6889023441.68805,3803229295.65617,2838186443.97018
"Seychelles",2048,7030259062.18433,3805099382.56783,2812013252.02588
"Seychelles",2049,7171494682.6806,3805433914.63109,2784956975.4012
"Seychelles",2050,7312730303.17694,3804292390.69554,2757091259.5915
"Sierra Leone",2015,12004273202.6367,12489245840.0232,12735333440.6773
"Sierra Leone",2016,12766151753.4109,13021474788.4791,13149136306.0132
"Sierra Leone",2017,13245367968.2351,13245367968.2351,13245367968.2351
"Sierra Leone",2018,13705366699.449,13436634019.0676,13306181261.601
"Sierra Leone",2019,14459533197.5307,13898051900.7408,13629496839.9762
"Sierra Leone",2020,14916312586.4396,14055974499.2872,13650539051.7848
"Sierra Leone",2021,15305431263.8309,14139852666.4534,13598677440.6776
"Sierra Leone",2022,15694549941.2224,14215037428.1794,13538256646.2544
"Sierra Leone",2023,16083668618.6138,14281837453.8952,13469819257.806
"Sierra Leone",2024,16472787296.0052,14340552650.6793,13393883518.5465
